Date,Rule-Based
1984-03-01,-0.0011450843498476103
1984-04-01,0.0010589931664332546
1984-05-01,-0.010612124206559215
1984-06-01,0.01200955877628942
1984-07-01,0.02573688745723444
1984-08-01,0.015229125517040722
1984-09-01,0.016704641813057537
1984-10-01,0.02281805954738898
1984-11-01,0.009988135685950595
1984-12-01,0.009058811585534161
1985-01-01,0.015971766995486934
1985-02-01,-0.002928010577077141
1985-03-01,0.011209936827835875
1985-04-01,0.012224939079376471
1985-05-01,0.025665462495785694
1985-06-01,0.007482535737233942
1985-07-01,0.0008751335977993714
1985-08-01,0.011038760782741748
1985-09-01,0.006160138829671218
1985-10-01,0.010125976795107707
1985-11-01,0.014437244138414233
1985-12-01,0.01886172358043395
1986-01-01,0.006824807708895858
1986-02-01,0.027673605552460224
1986-03-01,0.022001456075594263
