Date,Short-term treasury index,US TIPS 0-5 Years,US TIPS 1-5 years,US Treasury Inflation Notes 1-10 Years,US Aggregate 10 or 10+ Years,US Aggregate,US Corporate HY,US Corporate IG,US Treasury,CHF,JPY,US treasury 1-3 Year,US Treasury 20+ Years,US Treasury 10+ Years
1980-12-01,0.8170863600860407,0.04726473755144081,0.010862148873230273,0.0006137400172964102,0.0,0.0,0.029434453470001246,0.0049738442631047375,0.0,0.00291975681851688,0.003095704310521088,0.07547668014323149,0.00038049607901639507,0.007892078387600015
1981-01-01,0.7749557963759003,0.05317573892641266,0.0032669984361297535,0.0012274800345928203,0.0,0.0,0.03417233204110522,0.005400488176101729,0.0,0.00583951363703376,0.003095704310521088,0.11636300195432464,0.0006620154802916396,0.0018409306275863398
1981-02-01,0.7976568110311297,0.03413217972189912,0.001633499218064877,0.0006137400172964103,0.0,0.0,0.034781673693713724,0.009521044613212482,0.0,0.0029197568185168805,0.006191408621042177,0.1100670384753698,0.00047947275675754546,0.002003375032997325
1981-03-01,0.7976568110311297,0.034132179721899115,0.0016334992180648768,0.0006137400172964102,0.0,0.0,0.03478167369371372,0.00952104461321248,0.0,0.00291975681851688,0.006191408621042176,0.11006703847536979,0.0004794727567575454,0.002003375032997324
1981-04-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1981-05-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1981-06-01,0.8397873747412701,0.02822117834692727,0.009228649655165396,0.0,0.0,0.0,0.03004379512260974,0.009094400700215492,0.0,0.0,0.006191408621042177,0.06918071666427664,0.00019795335548230077,0.008054522793011
1981-07-01,0.83978737474127,0.028221178346927268,0.009228649655165394,0.0,0.0,0.0,0.03004379512260974,0.009094400700215489,0.0,0.0,0.006191408621042176,0.06918071666427664,0.00019795335548230075,0.008054522793011
1981-08-01,0.83978737474127,0.028221178346927268,0.009228649655165394,0.0,0.0,0.0,0.03004379512260974,0.009094400700215489,0.0,0.0,0.006191408621042176,0.06918071666427664,0.00019795335548230075,0.008054522793011
1981-09-01,0.7976568110311297,0.034132179721899115,0.0016334992180648768,0.0006137400172964102,0.0,0.0,0.03478167369371372,0.00952104461321248,0.0,0.00291975681851688,0.006191408621042176,0.11006703847536979,0.0004794727567575454,0.002003375032997324
