,,CumRet,AnnRet,AnnVol,Sharpe,MaxDD,VaR5,CVaR5,ProbLoss12m,Worst12m,PreservationScore
Calm_2017_2019,Gov_Long_Only,0.20409166193736783,0.06508088916666667,0.07958329197659388,0.8177707600460599,-0.0707656695369967,-0.0248562216875,-0.025054362750000003,0.28,-0.05298178587023694,0.95
Covid,Rule,0.07569063488469041,0.07345762334105026,0.02445442065499586,3.0038586633228377,-0.0069468773504201,-0.004074108440975116,-0.0058392495084579246,0.0,0.07569063488469041,0.0
Covid,SAA,0.09535909410440269,0.09251089034903848,0.048745657745929406,1.8978283323454337,-0.01692405924194096,-0.011127778586778847,-0.015255183221153849,0.0,0.09535909410440269,0.15000000000000002
Covid,Barbell_LongShort,0.08543395649475705,0.083482566815,0.05182236747059092,1.6109369542481087,-0.02667571070771524,-0.013640072912499999,-0.017028148125,0.0,0.08543395649475705,0.52
Covid,Barbell_Diversified,0.08632151325180537,0.084091720152,0.047062007492766005,1.7868281578282845,-0.024484117289503726,-0.01224044677,-0.015808728299999998,0.0,0.08632151325180537,0.30000000000000004
Covid,Capital_Preservation,0.10094910651267419,0.09797232007315788,0.055758024486910585,1.7570981212965548,-0.02707330901781768,-0.013174509685526315,-0.017725046986842106,0.0,0.10094910651267419,0.53
Covid,Gov_Long_Only,0.15069995937106717,0.14545591975,0.09697166031018874,1.4999838023265963,-0.053048360757439794,-0.0271744416875,-0.03405689075,0.0,0.15069995937106717,0.75
Inflation2022,Rule,-0.07353104313973524,-0.05031769304436427,0.03217469053527541,-1.5638905054641439,-0.09357338697005124,-0.017693734979725203,-0.019073535734794037,1.0,-0.0908894099106351,0.0
Inflation2022,SAA,-0.12573867280424544,-0.08676180571794874,0.07235919427725404,-1.1990432810170486,-0.16226939732764833,-0.04027843778413462,-0.04619107028846155,1.0,-0.15745611413615568,0.29000000000000004
Inflation2022,Barbell_LongShort,-0.130430577065199,-0.09076287816666667,0.06567699875976345,-1.3819583702151736,-0.16868453682155748,-0.038188165850000004,-0.0396787675,1.0,-0.16089514636639723,0.23000000000000004
Inflation2022,Barbell_Diversified,-0.1328049682649931,-0.09240264080000003,0.06833612018322412,-1.352178621675452,-0.17047388648697037,-0.04007980973500001,-0.041005904200000005,1.0,-0.16395911597130142,0.38
Inflation2022,Capital_Preservation,-0.15839673941343546,-0.11104560580701756,0.08422147066192431,-1.3184952119011164,-0.20221276200183447,-0.049514481303947366,-0.05062600789473684,1.0,-0.19446121762056312,0.6000000000000001
Inflation2022,Gov_Long_Only,-0.23337503043567098,-0.16865850483333328,0.12291621703314659,-1.3721420078186384,-0.29401073069519945,-0.07070717055,-0.0767478715,1.0,-0.2805872563480125,0.75
2024_vol,Rule,0.04651909630753526,0.04577713329364178,0.022000156898156143,2.0807639466188723,-0.005802663835867916,-0.005223336260093216,-0.00580266383586799,0.0,0.04651909630753526,0.0
2024_vol,SAA,0.01779048407872974,0.0190601628701923,0.0554411335444705,0.34379100230524223,-0.028579743684276404,-0.021324827811298082,-0.02236131136538462,0.0,0.01779048407872974,0.15000000000000002
2024_vol,Barbell_LongShort,0.0007283974163805329,0.0022218911250000035,0.05694885484143757,0.03901555406489568,-0.03354825274769857,-0.02415927895625,-0.025632926749999996,0.0,0.0007283974163805329,0.38
2024_vol,Barbell_Diversified,0.003944514011397615,0.005470581399999994,0.05770339355343586,0.0948051936483423,-0.03293517828201453,-0.024308145595,-0.025577148,0.0,0.003944514011397615,0.37
2024_vol,Capital_Preservation,-0.0013027351409028443,0.0008740198026315725,0.06871856539151491,0.012718830750496036,-0.04012858705942479,-0.02938512579671053,-0.030868976289473684,1.0,-0.0013027351409028443,0.8
2024_vol,Gov_Long_Only,-0.044846586116956244,-0.04072826324999998,0.10443305255200425,-0.38999399380496547,-0.07146966086319273,-0.0473073017625,-0.051131672999999996,1.0,-0.044846586116956244,0.95
