Date,Rule-Based,SAA Benchmark
1978-11-01,0.013563617531335148,0.009717713451923078
1978-12-01,-0.009579895270663035,-0.006380539096153848
1979-01-01,0.01823579626975477,0.012612463990384619
1979-02-01,-0.006519402621253405,-0.004888711740384615
1979-03-01,0.011437529925960638,0.008106412596153847
1979-04-01,-0.002666900893158389,-0.002527377548076923
1979-05-01,0.019778519483598878,0.013724095346153849
1979-06-01,0.01997100256805002,0.016072244182692312
1979-07-01,0.0008989656831144544,-0.001072294125
1979-08-01,0.000754609646951664,-0.0007805330865384616
1979-09-01,-0.006203781490388685,-0.006577522826923078
1979-10-01,-0.024146100772372708,-0.041978939528846154
1979-11-01,0.017428964190516472,0.018521250567307697
1979-12-01,0.00597687263461056,0.0013651613173076929
1980-01-01,-0.012209862430807399,-0.02975861480769231
