Date,Short-term treasury index,US TIPS 0-5 Years,US TIPS 1-5 years,US Treasury Inflation Notes 1-10 Years,US Aggregate 10 or 10+ Years,US Aggregate,US Corporate HY,US Corporate IG,US Treasury,CHF,Gold,JPY,US treasury 1-3 Year,US Treasury 20+ Years,US Treasury 10+ Years
2019-12-01,0.04057315233785822,0.0,0.0,0.0,0.040120663650075425,0.20180995475113125,0.30648567119155357,0.20180995475113125,0.040120663650075425,0.012066365007541477,0.024132730015082954,0.012066365007541477,0.04057315233785822,0.040120663650075425,0.040120663650075425
2020-01-01,0.04057315233785822,0.0,0.0,0.0,0.040120663650075425,0.20180995475113125,0.30648567119155357,0.20180995475113125,0.040120663650075425,0.012066365007541477,0.024132730015082954,0.012066365007541477,0.04057315233785822,0.040120663650075425,0.040120663650075425
2020-02-01,0.04057315233785823,0.0,0.0,0.0,0.04012066365007543,0.20180995475113128,0.3064856711915536,0.20180995475113128,0.04012066365007543,0.01206636500754148,0.02413273001508296,0.01206636500754148,0.04057315233785823,0.04012066365007543,0.04012066365007543
2020-03-01,0.19027661357921205,0.05532271584241407,0.05532271584241407,0.07376362112321877,0.0498742665549036,0.052808046940486165,0.002514668901927913,0.052808046940486165,0.0498742665549036,0.023889354568315167,0.0796311818943839,0.023889354568315167,0.19027661357921205,0.0498742665549036,0.0498742665549036
2020-04-01,0.19027661357921205,0.05532271584241407,0.05532271584241407,0.07376362112321877,0.0498742665549036,0.052808046940486165,0.002514668901927913,0.052808046940486165,0.0498742665549036,0.023889354568315167,0.0796311818943839,0.023889354568315167,0.19027661357921205,0.0498742665549036,0.0498742665549036
2020-05-01,0.19027661357921208,0.055322715842414084,0.055322715842414084,0.07376362112321878,0.04987426655490361,0.05280804694048617,0.0025146689019279133,0.05280804694048617,0.04987426655490361,0.023889354568315174,0.07963118189438391,0.023889354568315174,0.19027661357921208,0.04987426655490361,0.04987426655490361
2020-06-01,0.19027661357921205,0.05532271584241407,0.05532271584241407,0.07376362112321877,0.0498742665549036,0.052808046940486165,0.002514668901927913,0.052808046940486165,0.0498742665549036,0.023889354568315167,0.0796311818943839,0.023889354568315167,0.19027661357921205,0.0498742665549036,0.0498742665549036
2020-07-01,0.19027661357921205,0.05532271584241407,0.05532271584241407,0.07376362112321877,0.0498742665549036,0.052808046940486165,0.002514668901927913,0.052808046940486165,0.0498742665549036,0.023889354568315167,0.0796311818943839,0.023889354568315167,0.19027661357921205,0.0498742665549036,0.0498742665549036
2020-08-01,0.19027661357921208,0.055322715842414084,0.055322715842414084,0.07376362112321878,0.04987426655490361,0.05280804694048617,0.0025146689019279133,0.05280804694048617,0.04987426655490361,0.023889354568315174,0.07963118189438391,0.023889354568315174,0.19027661357921208,0.04987426655490361,0.04987426655490361
2020-09-01,0.11356209150326799,0.0,0.0,0.0,0.0886437908496732,0.1454248366013072,0.03594771241830066,0.1454248366013072,0.0886437908496732,0.020152505446623097,0.05119825708061002,0.020152505446623097,0.11356209150326799,0.0886437908496732,0.0886437908496732
2020-10-01,0.11356209150326799,0.0,0.0,0.0,0.0886437908496732,0.1454248366013072,0.03594771241830066,0.1454248366013072,0.0886437908496732,0.020152505446623097,0.05119825708061002,0.020152505446623097,0.11356209150326799,0.0886437908496732,0.0886437908496732
2020-11-01,0.11356209150326799,0.0,0.0,0.0,0.0886437908496732,0.1454248366013072,0.03594771241830066,0.1454248366013072,0.0886437908496732,0.020152505446623097,0.05119825708061002,0.020152505446623097,0.11356209150326799,0.0886437908496732,0.0886437908496732
2020-12-01,0.1199512062889672,0.0,0.0,0.0,0.08823529411764706,0.14014638113309838,0.03578205475738682,0.14014638113309838,0.08823529411764706,0.020059636757928982,0.05096232041203577,0.020059636757928982,0.1199512062889672,0.08823529411764706,0.08823529411764706
2021-01-01,0.1199512062889672,0.0,0.0,0.0,0.08823529411764706,0.14014638113309838,0.03578205475738682,0.14014638113309838,0.08823529411764706,0.020059636757928982,0.05096232041203577,0.020059636757928982,0.1199512062889672,0.08823529411764706,0.08823529411764706
2021-02-01,0.11995120628896722,0.0,0.0,0.0,0.08823529411764706,0.14014638113309838,0.03578205475738682,0.14014638113309838,0.08823529411764706,0.020059636757928982,0.05096232041203577,0.020059636757928982,0.11995120628896722,0.08823529411764706,0.08823529411764706
2021-03-01,0.05139318885448918,0.0,0.0,0.0,0.07476780185758515,0.21145510835913317,0.13808049535603717,0.21145510835913317,0.07476780185758515,0.006191950464396287,0.024767801857585148,0.006191950464396287,0.05139318885448918,0.07476780185758515,0.07476780185758515
2021-04-01,0.05139318885448918,0.0,0.0,0.0,0.07476780185758515,0.21145510835913317,0.13808049535603717,0.21145510835913317,0.07476780185758515,0.006191950464396287,0.024767801857585148,0.006191950464396287,0.05139318885448918,0.07476780185758515,0.07476780185758515
2021-05-01,0.05139318885448918,0.0,0.0,0.0,0.07476780185758515,0.21145510835913314,0.13808049535603717,0.21145510835913314,0.07476780185758515,0.006191950464396286,0.024767801857585144,0.006191950464396286,0.05139318885448918,0.07476780185758515,0.07476780185758515
2021-06-01,0.034846547314578,0.0,0.0,0.0,0.042519181585677746,0.20843989769820967,0.2921994884910486,0.20843989769820967,0.042519181585677746,0.012787723785166237,0.025575447570332473,0.012787723785166237,0.034846547314578,0.042519181585677746,0.042519181585677746
2021-07-01,0.034846547314578,0.0,0.0,0.0,0.042519181585677746,0.20843989769820967,0.2921994884910486,0.20843989769820967,0.042519181585677746,0.012787723785166237,0.025575447570332473,0.012787723785166237,0.034846547314578,0.042519181585677746,0.042519181585677746
2021-08-01,0.034846547314578,0.0,0.0,0.0,0.042519181585677746,0.20843989769820967,0.2921994884910486,0.20843989769820967,0.042519181585677746,0.012787723785166237,0.025575447570332473,0.012787723785166237,0.034846547314578,0.042519181585677746,0.042519181585677746
2021-09-01,0.034846547314578,0.0,0.0,0.0,0.042519181585677746,0.20843989769820967,0.2921994884910486,0.20843989769820967,0.042519181585677746,0.012787723785166237,0.025575447570332473,0.012787723785166237,0.034846547314578,0.042519181585677746,0.042519181585677746
