Date,Short-term treasury index,US TIPS 0-5 Years,US TIPS 1-5 years,US Treasury Inflation Notes 1-10 Years,US Aggregate 10 or 10+ Years,US Aggregate,US Corporate HY,US Corporate IG,US Treasury,CHF,Gold,JPY,US treasury 1-3 Year,US Treasury 20+ Years,US Treasury 10+ Years
30-11-2020,0.000227639,0.006039611,0.006647543,0.007664467,0.03512781,0.009811796,0.03956023,0.027859119,0.003481404,-0.001534415,0.005555556,-0.007636193,0.000358706,0.012745788,0.012003963
30-10-2020,4.49105E-05,-0.002231858,-0.00246683,-0.004134422,-0.015808675,-0.004465244,0.005076558,-0.001800102,-0.009427419,-0.002732539,-0.02173913,-0.003594124,-0.000430262,-0.030844329,-0.030092965
30-09-2020,0.000161084,-0.001531188,-0.002080735,-0.003521251,-0.001410198,-0.000546809,-0.010287491,-0.002862684,0.001385224,0.005495109,-0.034120735,-0.00399857,0.000251049,0.003873149,0.003846728
31-08-2020,0.000180478,0.011576894,0.012447285,0.014177559,-0.037405261,-0.008073332,0.009507347,-0.013788766,-0.010952743,-0.024445159,0.137313433,-0.006270048,-0.000179289,-0.044755373,-0.043114186
31-07-2020,0.000252578,0.007400477,0.00864736,0.014307965,0.052965232,0.014935359,0.046879316,0.032508595,0.011427241,-0.019552192,0.033950617,-0.008332543,0.000933171,0.044226726,0.042257008
30-06-2020,0.000237139,0.007543347,0.008532627,0.010653097,0.01550971,0.006302414,0.009790815,0.019603496,0.000936326,-0.01846884,0.00621118,0.003527985,0.000323125,0.001303739,0.001295916
29-05-2020,3.09986E-06,0.006651709,0.006986351,0.006225366,0.000941683,0.004653552,0.044051492,0.015643923,-0.002534461,-0.000927739,0.059210526,-0.004999137,0.000790485,-0.019900081,-0.018666487
30-04-2020,0.000379102,0.011855548,0.013831366,0.020295411,0.045073036,0.01777739,0.045055066,0.052431674,0.006360857,0.011258209,-0.019354839,0.000662225,0.001331223,0.020173311,0.020230596
31-03-2020,0.005625739,-0.016179452,-0.01821059,-0.018264335,-0.029565051,-0.005886583,-0.114593786,-0.07085513,0.028924094,-0.017312026,0.047297297,-0.021468788,0.012863963,0.062364493,0.0605239
28-02-2020,0.002961948,0.005155134,0.005807722,0.008671703,0.040102171,0.017999665,-0.014102182,0.013379409,0.026506679,0.006599299,0.022452504,0.006981084,0.008971578,0.068660156,0.067006578
31-01-2020,0.00173184,0.004286506,0.005250207,0.012930709,0.052230783,0.019244944,0.000265717,0.023451532,0.024436868,-0.013026664,0.041366906,0.001518776,0.005508725,0.069945228,0.068451009
31-12-2019,0.001577668,0.007178771,0.007805813,0.006985043,-0.01138125,-0.000696144,0.019990748,0.003198172,-0.005614394,-0.010373653,-0.012433393,0.002233187,0.002148944,-0.028913537,-0.027910584
29-11-2019,0.000978467,0.001183885,0.000852542,0.000189847,0.000782981,-0.000511741,0.003267667,0.00251718,-0.003007928,-0.000100705,-0.003539823,0.006668405,-0.000407392,-0.00494143,-0.005164478
31-10-2019,0.002742656,0.003005565,0.00285447,0.00277947,-0.00059058,0.003012157,0.002759561,0.006070409,0.000682374,0.002422774,-0.02417962,0.005549563,0.003344357,-0.008949213,-0.00859121
30-09-2019,0.001526023,-0.002170843,-0.003220337,-0.008232007,-0.019073964,-0.005324938,0.003642489,-0.006505573,-0.008459591,0.012158986,0.03024911,0.012726413,-0.00115062,-0.025650342,-0.024943724
30-08-2019,0.002795644,0.005202247,0.005884258,0.012850914,0.078657127,0.025913282,0.00400288,0.031448493,0.033997313,-0.009412955,0.060377358,-0.019372701,0.008119738,0.108170496,0.104996421
31-07-2019,0.001359731,0.00022732,5.6148E-05,0.001532215,0.007269866,0.002201031,0.005635614,0.005592506,-0.001178922,0,0.053677932,0.002016314,-0.001121286,0.001626541,0.001600323
28-06-2019,0.00311719,0.006625543,0.007332071,0.009903288,0.027735101,0.012556066,0.022793161,0.024456575,0.009228533,-0.022459681,0.039256198,-0.01730359,0.005184656,0.013252881,0.013352091
31-05-2019,0.002467893,0.005243227,0.005855601,0.010910797,0.041291279,0.017751985,-0.011886994,0.014331189,0.023500602,0.002280841,-0.008196721,-0.014958609,0.007380213,0.066951505,0.065433041
30-04-2019,0.001999647,0.004534876,0.004863429,0.004320333,-0.004041997,0.000256309,0.014219167,0.005429429,-0.002773215,0.007896052,0,0.004472564,0.002009936,-0.018444026,-0.017902786
29-03-2019,0.002524669,0.007542091,0.008368513,0.013292474,0.046971852,0.019200441,0.009404296,0.025049624,0.01909005,-0.000898742,-0.018108652,0.006377218,0.006258348,0.053751804,0.052553145
28-02-2019,0.001923593,0.001840349,0.001488354,0.000995937,-0.005500838,-0.000580175,0.016631006,0.002168838,-0.002710781,0.011821764,0.022633745,0.013578315,0.000954927,-0.012644702,-0.012221523
31-01-2019,0.002506135,0.007095201,0.007581185,0.01119884,0.022334101,0.010622496,0.045203628,0.023520512,0.00470758,-0.002217966,0.036247335,-0.028867356,0.002680965,0.006648241,0.006712049
31-12-2018,0.002401809,0.001913587,0.002182562,0.004085265,0.03672102,0.018371084,-0.021413123,0.014705777,0.02151553,-0.009189891,0.010775862,-0.010046057,0.008069187,0.055940305,0.054713815
30-11-2018,0.002054853,6.29263E-07,0.00035915,0.003205648,0.006463992,0.005966683,-0.008602336,-0.001665073,0.008875918,0.007142857,0.022026432,0.005466556,0.003603534,0.019115756,0.018924273
31-10-2018,0.00185328,-0.004065433,-0.004489394,-0.007770665,-0.033000685,-0.007900997,-0.01598468,-0.01460449,-0.004777497,0.026541361,0,0.005570156,0.001435722,-0.032027141,-0.030463831
28-09-2018,0.001271905,-0.002414489,-0.003140681,-0.006956939,-0.015482292,-0.006438975,0.005565695,-0.00356515,-0.009337487,-0.019939271,-0.015184382,0.009918331,-0.001240166,-0.03050694,-0.029620944
31-08-2018,0.001907847,0.005103089,0.0053935,0.006762468,0.008495493,0.006435722,0.007379457,0.004939545,0.00764994,-0.006835545,-0.02742616,-0.00470315,0.003305078,0.016003434,0.015766109
31-07-2018,0.001644487,-0.001584777,-0.002074749,-0.003889334,0.002456298,0.000238417,0.010910916,0.00831169,-0.004183658,0.004848485,-0.034623218,0.013239594,-0.000155509,-0.015201606,-0.014714887
29-06-2018,0.001599918,0.001642681,0.001585835,0.002814636,-0.00616525,-0.001230305,0.004014846,-0.005808826,0.000206927,-0.006921457,-0.010080645,0.003424252,0.000116645,0.001920866,0.001777672
31-05-2018,0.001763339,0.003542953,0.003757373,0.004645526,0.011316743,0.00713472,-0.000277518,0.005355649,0.008977744,0.02911118,-0.015873016,0.0188749,0.003707462,0.021822453,0.021157025
30-04-2018,0.001220254,-0.000349884,-0.000661623,-0.001331289,-0.019333062,-0.007438705,0.006507211,-0.009274874,-0.008099663,0.021835443,0.005988024,0.015176318,-0.001753087,-0.019814579,-0.019440582
30-03-2018,0.001489374,0.005291247,0.005862135,0.008175052,0.016472068,0.00641336,-0.006041162,0.00253238,0.009430325,0.013361839,0,-0.017812355,0.001990788,0.031340812,0.030273646
28-02-2018,0.000581537,-0.000377577,-0.000872262,-0.004574899,-0.031421811,-0.009476963,-0.008497905,-0.016234986,-0.00753353,-0.025926697,0.00804829,-0.026165544,-0.000429201,-0.03118094,-0.030029467
31-01-2018,0.001061961,-0.002775324,-0.003780705,-0.007513963,-0.020534756,-0.011517956,0.005994964,-0.00955965,-0.013584435,-0.026950355,0.039748954,-0.018323808,-0.003111751,-0.032765285,-0.032293457
29-12-2017,0.000871945,0.001873515,0.00196901,0.00476402,0.018838114,0.004590038,0.003024551,0.009121733,0.003088405,-0.004538578,-0.008298755,0.001076946,7.77998E-05,0.018095096,0.017167934
